Node,Processes,Num Threads,Schedule,ChunkSize,ReadGray(s),ReadColor(s),Gray(s),Hsl(s),Yuv(s),WriteGray(s),WriteHsl(s),WriteYuv(s),Total(s)
1,1,4,guided,256,0.028848,0.327692,0.467787,1.860641,1.000358,6.207917,18.703502,18.715379,47.319534
1,1,4,guided,256,0.031963,0.35988,0.467383,1.854255,1.019166,6.213127,18.727287,18.245088,46.92571
1,1,4,guided,512,0.03033,0.351844,0.464352,1.851978,0.99578,3.412316,18.635151,18.619269,44.368525
1,1,4,guided,512,0.018214,0.37707,0.446147,1.850745,0.999106,6.227555,18.682362,18.689671,47.298457
1,1,4,guided,512,0.029808,0.381177,0.466069,1.857141,1.019342,6.211876,18.551185,16.25605,44.780325
1,1,4,guided,512,0.015946,0.367895,0.455835,1.86442,1.009509,6.125227,18.738278,18.717191,47.301926
1,1,4,guided,512,0.030258,0.359216,0.472999,1.859394,1.004115,6.204175,18.681349,18.735922,47.354918
1,1,4,guided,1024,0.030835,0.346582,0.455788,1.785666,0.965612,6.210415,18.713298,18.678528,47.194456
1,1,4,guided,1024,0.030825,0.344283,0.477359,1.860553,0.99677,6.213967,18.711441,18.797697,47.440327
1,1,4,guided,1024,0.03169,0.363822,0.449104,1.849312,0.9908,6.202404,18.34566,16.32778,44.568288
1,1,4,guided,1024,0.030027,0.358235,0.455397,1.840932,0.996675,3.201044,9.665481,9.659497,26.214865
1,1,4,guided,1024,0.032925,0.342825,0.43995,1.850652,0.99266,3.164322,9.502577,9.549073,25.882522
1,1,4,guided,2048,0.031223,0.360086,0.468901,1.846202,0.993899,3.180373,9.488467,9.453495,25.830219
1,1,4,guided,2048,0.028875,0.351932,0.481965,1.873369,0.999736,3.196957,9.64188,9.698393,26.280828
1,1,4,guided,2048,0.020779,0.344272,0.454423,1.858835,1.010757,3.19413,11.753509,18.394963,37.039148
1,1,4,guided,2048,0.017809,0.34188,0.444331,1.865025,0.997852,6.197875,14.87249,18.194711,42.93963
1,1,4,guided,2048,0.03143,0.3625,0.467077,1.83508,1.021579,6.203927,16.762409,18.228455,44.920321
1,1,4,guided,4096,0.014643,0.379014,0.428543,1.8646,1.003319,4.034877,17.589107,18.177036,43.498772
1,1,4,guided,4096,0.031396,0.345712,0.464511,1.86246,1.005003,5.518752,18.302087,16.515215,44.052638
1,1,4,guided,4096,0.030635,0.318233,0.476226,1.855399,0.988366,5.456276,18.345971,15.941616,43.419741
1,1,4,guided,4096,0.029474,0.378797,0.465341,1.84571,0.973647,5.996961,18.27727,15.158238,43.132951
1,1,4,guided,4096,0.028328,0.375291,0.463618,1.840841,0.995223,6.223617,17.414209,17.750115,45.098525
1,1,4,dynamic,16,0.015651,1.018989,0.620143,3.949012,3.375152,5.964915,15.345609,18.57819,48.874959
1,1,4,dynamic,16,0.031057,1.019559,0.624797,3.942803,3.483746,4.446745,17.998506,15.708921,47.263644
1,1,4,dynamic,16,0.032086,1.221025,0.653833,3.937313,3.514948,3.21875,9.844142,9.862196,32.292002
1,1,4,dynamic,16,0.014622,1.042834,0.622636,3.9425,3.521102,3.198865,9.841999,9.870374,32.062496
1,1,4,dynamic,16,0.029727,1.212833,0.670908,3.937186,3.575193,3.212316,9.852242,9.846572,32.344637
1,1,4,dynamic,32,0.015177,0.759674,0.58288,3.220479,2.310217,3.18417,9.731161,9.713251,29.524722
1,1,4,dynamic,32,0.031554,0.781537,0.58897,3.209134,2.320487,3.178725,9.794365,9.792167,29.704697
1,1,4,dynamic,32,0.028729,0.746671,0.608388,3.216112,2.33231,3.199383,9.707435,9.757619,29.604198
1,1,4,dynamic,32,0.033029,0.78678,0.601252,3.224831,2.313487,3.136218,9.752899,9.785092,29.641297
1,1,4,dynamic,32,0.031601,0.769744,0.602286,3.225865,2.335872,3.156313,9.772235,9.751895,29.653431
1,1,4,dynamic,64,0.03219,0.434005,0.526944,2.282146,1.46992,3.182515,9.627485,9.628754,27.191635
1,1,4,dynamic,64,0.031216,0.451699,0.518285,2.350031,1.487612,3.129744,9.605929,9.622321,27.204395
1,1,4,dynamic,64,0.031293,0.470614,0.506791,2.328005,1.489723,3.123213,9.929212,17.707699,35.594002
1,1,4,dynamic,64,0.030737,0.4614,0.495626,2.352723,1.492852,6.203289,14.810916,18.304281,44.15937
